Date : 2022-10-19 15:19:06
Directory : /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin
Total : 1721 files,  247842 codes, 83227 comments, 47887 blanks, all 378956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| src/lcd                                                                                                                                                           |        734 |    119,316 |     23,391 |     18,214 |    160,921 |
| src/lcd/HD44780                                                                                                                                                   |          3 |      2,011 |        436 |        402 |      2,849 |
| src/lcd/TFTGLCD                                                                                                                                                   |          3 |      1,669 |        372 |        270 |      2,311 |
| src/lcd/dogm                                                                                                                                                      |         63 |     12,109 |      1,478 |      1,236 |     14,823 |
| src/lcd/dogm/fontdata                                                                                                                                             |         35 |      5,432 |        255 |        124 |      5,811 |
| src/lcd/dogm/status                                                                                                                                               |          8 |      1,688 |        195 |        179 |      2,062 |
| src/lcd/e3v2                                                                                                                                                      |         52 |     16,947 |      2,787 |      2,339 |     22,073 |
| src/lcd/e3v2/common                                                                                                                                               |          7 |        728 |        457 |        158 |      1,343 |
| src/lcd/e3v2/creality                                                                                                                                             |          4 |      3,846 |        331 |        524 |      4,701 |
| src/lcd/e3v2/jyersui                                                                                                                                              |          5 |      4,710 |        135 |        358 |      5,203 |
| src/lcd/e3v2/marlinui                                                                                                                                             |          9 |      1,920 |        531 |        369 |      2,820 |
| src/lcd/e3v2/proui                                                                                                                                                |         26 |      5,739 |      1,333 |        926 |      7,998 |
| src/lcd/extui                                                                                                                                                     |        448 |     53,158 |     12,808 |      9,916 |     75,882 |
| src/lcd/extui/anycubic_chiron                                                                                                                                     |          8 |      1,400 |        374 |        231 |      2,005 |
| src/lcd/extui/anycubic_i3mega                                                                                                                                     |          3 |        947 |        127 |        174 |      1,248 |
| src/lcd/extui/dgus                                                                                                                                                |         24 |      6,220 |      1,295 |      1,344 |      8,859 |
| src/lcd/extui/dgus/fysetc                                                                                                                                         |          4 |        868 |        206 |        158 |      1,232 |
| src/lcd/extui/dgus/hiprecy                                                                                                                                        |          4 |        848 |        215 |        158 |      1,221 |
| src/lcd/extui/dgus/mks                                                                                                                                            |          4 |      2,731 |        303 |        628 |      3,662 |
| src/lcd/extui/dgus/origin                                                                                                                                         |          4 |        664 |        216 |        139 |      1,019 |
| src/lcd/extui/dgus_reloaded                                                                                                                                       |         23 |      3,424 |        543 |        923 |      4,890 |
| src/lcd/extui/dgus_reloaded/config                                                                                                                                |          5 |        339 |        116 |         69 |        524 |
| src/lcd/extui/dgus_reloaded/definition                                                                                                                            |          7 |        530 |        153 |        118 |        801 |
| src/lcd/extui/example                                                                                                                                             |          1 |         59 |         56 |         23 |        138 |
| src/lcd/extui/ftdi_eve_touch_ui                                                                                                                                   |        244 |     19,742 |      6,158 |      3,523 |     29,423 |
| src/lcd/extui/ftdi_eve_touch_ui/archim2-flash                                                                                                                     |          4 |        480 |        150 |        139 |        769 |
| src/lcd/extui/ftdi_eve_touch_ui/bioprinter                                                                                                                        |         17 |        834 |        367 |        200 |      1,401 |
| src/lcd/extui/ftdi_eve_touch_ui/cocoa_press                                                                                                                       |         20 |      1,080 |        426 |        255 |      1,761 |
| src/lcd/extui/ftdi_eve_touch_ui/ftdi_eve_lib                                                                                                                      |         63 |      9,947 |      2,162 |      1,301 |     13,410 |
| src/lcd/extui/ftdi_eve_touch_ui/ftdi_eve_lib/basic                                                                                                                |         11 |      2,227 |        506 |        403 |      3,136 |
| src/lcd/extui/ftdi_eve_touch_ui/ftdi_eve_lib/extended                                                                                                             |         45 |      7,037 |      1,528 |        769 |      9,334 |
| src/lcd/extui/ftdi_eve_touch_ui/ftdi_eve_lib/extended/unicode                                                                                                     |         16 |      5,221 |        644 |        315 |      6,180 |
| src/lcd/extui/ftdi_eve_touch_ui/ftdi_eve_lib/extended/unicode/font_bitmaps                                                                                        |          2 |        976 |          1 |          3 |        980 |
| src/lcd/extui/ftdi_eve_touch_ui/ftdi_eve_lib/scripts                                                                                                              |          4 |        386 |         84 |         82 |        552 |
| src/lcd/extui/ftdi_eve_touch_ui/generic                                                                                                                           |        121 |      6,147 |      2,557 |      1,368 |     10,072 |
| src/lcd/extui/ftdi_eve_touch_ui/language                                                                                                                          |          3 |        156 |         57 |         19 |        232 |
| src/lcd/extui/ftdi_eve_touch_ui/theme                                                                                                                             |          9 |        796 |        194 |        149 |      1,139 |
| src/lcd/extui/malyan                                                                                                                                              |          3 |        331 |        229 |         85 |        645 |
| src/lcd/extui/mks_ui                                                                                                                                              |        134 |     18,950 |      3,632 |      3,244 |     25,826 |
| src/lcd/extui/nextion                                                                                                                                             |          6 |        862 |        214 |        142 |      1,218 |
| src/lcd/language                                                                                                                                                  |         34 |     13,878 |      1,087 |        629 |     15,594 |
| src/lcd/menu                                                                                                                                                      |         45 |      6,410 |      1,947 |      1,463 |      9,820 |
| src/lcd/menu/game                                                                                                                                                 |         11 |        875 |        377 |        211 |      1,463 |
| src/lcd/tft                                                                                                                                                       |         62 |      9,054 |      1,511 |      1,073 |     11,638 |
| src/lcd/tft/fontdata                                                                                                                                              |          6 |      1,966 |        173 |         48 |      2,187 |
| src/lcd/tft/images                                                                                                                                                |         35 |      3,090 |        735 |        181 |      4,006 |
| src/lcd/tft_io                                                                                                                                                    |         13 |      1,350 |        334 |        228 |      1,912 |
| src/lcd/touch                                                                                                                                                     |          2 |        132 |         46 |         38 |        216 |
| src/libs                                                                                                                                                          |         35 |      3,964 |      1,782 |        928 |      6,674 |
| src/libs/L64XX                                                                                                                                                    |          3 |        971 |         87 |        182 |      1,240 |
| src/libs/heatshrink                                                                                                                                               |          4 |        380 |        101 |         72 |        553 |
| src/module                                                                                                                                                        |         89 |     24,220 |      6,618 |      4,469 |     35,307 |
| src/module/stepper                                                                                                                                                |          9 |      3,033 |        367 |        303 |      3,703 |
| src/module/thermistor                                                                                                                                             |         52 |      2,706 |      1,213 |        155 |      4,074 |
| src/pins                                                                                                                                                          |        332 |     29,335 |     20,734 |      8,120 |     58,189 |
| src/pins/esp32                                                                                                                                                    |         13 |        442 |        560 |        176 |      1,178 |
| src/pins/linux                                                                                                                                                    |          1 |        472 |        120 |        107 |        699 |
| src/pins/lpc1768                                                                                                                                                  |         14 |      1,920 |      1,256 |        555 |      3,731 |
| src/pins/lpc1769                                                                                                                                                  |         13 |      1,167 |        784 |        351 |      2,302 |
| src/pins/mega                                                                                                                                                     |         34 |      1,814 |      1,551 |        641 |      4,006 |
| src/pins/rambo                                                                                                                                                    |          7 |        593 |        369 |        197 |      1,159 |
| src/pins/ramps                                                                                                                                                    |         62 |      3,865 |      3,555 |      1,131 |      8,551 |
| src/pins/sam                                                                                                                                                      |         19 |      1,638 |      1,209 |        548 |      3,395 |
| src/pins/samd                                                                                                                                                     |          3 |        633 |        886 |        347 |      1,866 |
| src/pins/sanguino                                                                                                                                                 |         24 |        786 |      1,475 |        354 |      2,615 |
| src/pins/stm32f0                                                                                                                                                  |          2 |         41 |         63 |         18 |        122 |
| src/pins/stm32f1                                                                                                                                                  |         67 |      5,031 |      4,042 |      1,647 |     10,720 |
| src/pins/stm32f4                                                                                                                                                  |         46 |      4,690 |      2,851 |      1,320 |      8,861 |
| src/pins/stm32f7                                                                                                                                                  |          2 |        148 |        142 |         45 |        335 |
| src/pins/stm32g0                                                                                                                                                  |          1 |        188 |        186 |         66 |        440 |
| src/pins/stm32h7                                                                                                                                                  |          6 |        508 |        296 |        120 |        924 |
| src/pins/teensy2                                                                                                                                                  |          9 |        446 |        786 |        200 |      1,432 |
| src/pins/teensy3                                                                                                                                                  |          2 |         92 |        140 |         34 |        266 |
| src/pins/teensy4                                                                                                                                                  |          2 |         75 |        152 |         32 |        259 |
| src/sd                                                                                                                                                            |         62 |     14,855 |      5,745 |      2,745 |     23,345 |
| src/sd/usb_flashdrive                                                                                                                                             |         45 |     11,105 |      3,169 |      1,828 |     16,102 |
| src/sd/usb_flashdrive/lib-uhs2                                                                                                                                    |         19 |      3,029 |      1,205 |        766 |      5,000 |
| src/sd/usb_flashdrive/lib-uhs3                                                                                                                                    |         24 |      7,815 |      1,885 |        992 |     10,692 |
| src/sd/usb_flashdrive/lib-uhs3/UHS_host                                                                                                                           |         22 |      7,534 |      1,790 |        950 |     10,274 |
| src/sd/usb_flashdrive/lib-uhs3/UHS_host/UHS_BULK_STORAGE                                                                                                          |          3 |      1,129 |        405 |        250 |      1,784 |
| src/sd/usb_flashdrive/lib-uhs3/UHS_host/USB_HOST_SHIELD                                                                                                           |          3 |      1,200 |        357 |        194 |      1,751 |
| src/sd/usb_flashdrive/lib-uhs3/dyn_SWI                                                                                                                            |          2 |        281 |         95 |         42 |        418 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                          | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Configuration.h                                                                                            | C++      |        605 |      2,131 |        450 |      3,186 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Configuration_adv.h                                                                                        | C++      |      1,426 |      2,386 |        550 |      4,362 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Makefile                                                                                                   | Makefile |        588 |        322 |        126 |      1,036 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Marlin.ino                                                                                                 | C++      |          0 |         57 |          1 |         58 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Version.h                                                                                                  | C++      |          1 |         66 |         10 |         77 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/HAL.h                                                                                              | C++      |         17 |         23 |          8 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/HAL.cpp                                                                                      | C++      |        119 |         39 |         37 |        195 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/HAL.h                                                                                        | C++      |        155 |         74 |         54 |        283 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/HAL_SPI.cpp                                                                                  | C++      |        112 |         86 |         34 |        232 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSPI.cpp                                                                                | C++      |        121 |         30 |         24 |        175 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSPI.h                                                                                  | C++      |         52 |         42 |         14 |        108 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSerial.cpp                                                                             | C++      |         68 |         28 |         15 |        111 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSerial.h                                                                               | C++      |         29 |         21 |         10 |         60 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MinSerial.cpp                                                                                | C++      |         98 |         35 |         21 |        154 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/README.md                                                                                    | Markdown |          8 |          0 |          4 |         12 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/Servo.cpp                                                                                    | C++      |         67 |         28 |         18 |        113 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/Servo.h                                                                                      | C++      |         23 |         23 |          9 |         55 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_bl24cxx.cpp                                                                           | C++      |         44 |         28 |         14 |         86 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_flash.cpp                                                                             | C++      |        177 |         52 |         49 |        278 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_if_iic.cpp                                                                            | C++      |         17 |         28 |         12 |         57 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_sdcard.cpp                                                                            | C++      |         53 |         24 |         18 |         95 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_sram.cpp                                                                              | C++      |         34 |         24 |         13 |         71 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_wired.cpp                                                                             | C++      |         43 |         27 |         11 |         81 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/endstop_interrupts.h                                                                         | C++      |         29 |         23 |          4 |         56 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/fast_pwm.cpp                                                                                 | C++      |         50 |         25 |         14 |         89 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/fastio.cpp                                                                                   | C++      |          9 |         22 |          6 |         37 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/fastio.h                                                                                     | C++      |         38 |         36 |         18 |         92 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/Conditionals_LCD.h                                                                       | C++      |          1 |         21 |          1 |         23 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/Conditionals_adv.h                                                                       | C++      |          9 |         23 |          4 |         36 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/Conditionals_post.h                                                                      | C++      |          6 |         22 |          2 |         30 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/SanityCheck.h                                                                            | C++      |         23 |         27 |          8 |         58 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/msc_sd.cpp                                                                                   | C++      |         90 |         21 |         20 |        131 |
