Date : 2022-10-19 15:26:23
Directory : /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode
Total : 181 files,  15258 codes, 7684 comments, 4044 blanks, all 26986 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M305.cpp                 | C++      |         31 |         39 |         10 |         80 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M309.cpp                 | C++      |         19 |         28 |          7 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M43.cpp                  | C++      |        247 |         81 |         59 |        387 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M540.cpp                 | C++      |          9 |         24 |          8 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M575.cpp                 | C++      |         46 |         27 |          9 |         82 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M672.cpp                 | C++      |         40 |         49 |         10 |         99 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M92.cpp                  | C++      |         76 |         36 |          9 |        121 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M10-M11.cpp             | C++      |         11 |         27 |          7 |         45 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M108_M112_M410.cpp      | C++      |         16 |         33 |          8 |         57 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M111.cpp                | C++      |         45 |         24 |          9 |         78 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M120_M121.cpp           | C++      |          4 |         27 |          4 |         35 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M17_M18_M84.cpp         | C++      |        186 |         39 |         22 |        247 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M211.cpp                | C++      |         21 |         26 |          8 |         55 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M226.cpp                | C++      |         29 |         24 |          8 |         61 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M280.cpp                | C++      |         38 |         29 |         10 |         77 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M282.cpp                | C++      |         13 |         24 |          9 |         46 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M3-M5.cpp               | C++      |         71 |         73 |         13 |        157 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M350_M351.cpp           | C++      |         35 |         32 |          8 |         75 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M380_M381.cpp           | C++      |         20 |         30 |          7 |         57 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M400.cpp                | C++      |          5 |         24 |          5 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M42.cpp                 | C++      |         82 |         37 |         17 |        136 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M605.cpp                | C++      |        107 |         58 |         25 |        190 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M7-M9.cpp               | C++      |         37 |         30 |         11 |         78 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M80_M81.cpp             | C++      |         62 |         36 |         23 |        121 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M85.cpp                 | C++      |         14 |         24 |          5 |         43 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M993_M994.cpp           | C++      |         49 |         27 |         13 |         89 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M997.cpp                | C++      |         10 |         24 |          9 |         43 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/M999.cpp                | C++      |         10 |         30 |          6 |         46 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/control/T.cpp                   | C++      |         27 |         34 |         10 |         71 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/eeprom/M500-M504.cpp            | C++      |         68 |         42 |         15 |        125 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/L6470/M122.cpp          | C++      |        114 |         27 |         11 |        152 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/L6470/M906.cpp          | C++      |        280 |         60 |         41 |        381 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/L6470/M916-M918.cpp     | C++      |        418 |        137 |         96 |        651 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/adc/M3426.cpp           | C++      |         26 |         32 |         11 |         69 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/advance/M900.cpp        | C++      |        100 |         32 |         28 |        160 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/baricuda/M126-M129.cpp  | C++      |         13 |         33 |         13 |         59 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/camera/M240.cpp         | C++      |        112 |         47 |         37 |        196 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/cancel/M486.cpp         | C++      |         16 |         31 |         11 |         58 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/caselight/M355.cpp      | C++      |         33 |         34 |          7 |         74 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/clean/G12.cpp           | C++      |         36 |         32 |         16 |         84 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/controllerfan/M710.cpp  | C++      |         30 |         39 |         13 |         82 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/digipot/M907-M910.cpp   | C++      |        108 |         36 |         30 |        174 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/filwidth/M404-M407.cpp  | C++      |         27 |         35 |         10 |         72 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/fwretract/G10_G11.cpp   | C++      |          8 |         28 |          7 |         43 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/fwretract/M207-M209.cpp | C++      |         22 |         43 |         13 |         78 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/i2c/M260_M261.cpp       | C++      |         20 |         45 |         13 |         78 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/leds/M150.cpp           | C++      |         36 |         47 |          9 |         92 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/leds/M7219.cpp          | C++      |         46 |         38 |         10 |         94 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/macro/M810-M819.cpp     | C++      |         27 |         30 |          9 |         66 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/mixing/M163-M165.cpp    | C++      |         40 |         52 |         10 |        102 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/mixing/M166.cpp         | C++      |         50 |         36 |         18 |        104 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/network/M552-M554.cpp   | C++      |         79 |         38 |         16 |        133 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/password/M510-M512.cpp  | C++      |         40 |         30 |         14 |         84 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/G27.cpp           | C++      |         10 |         25 |          6 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/G60.cpp           | C++      |         31 |         26 |         10 |         67 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/G61.cpp           | C++      |         49 |         33 |         14 |         96 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/M125.cpp          | C++      |         40 |         46 |         15 |        101 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/M600.cpp          | C++      |        100 |         48 |         28 |        176 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/M603.cpp          | C++      |         41 |         30 |         13 |         84 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/pause/M701_M702.cpp     | C++      |        140 |         61 |         40 |        241 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/power_monitor/M430.cpp  | C++      |         34 |         29 |          6 |         69 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/powerloss/M1000.cpp     | C++      |         60 |         26 |         13 |         99 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/powerloss/M413.cpp      | C++      |         28 |         28 |          9 |         65 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/prusa_MMU2/M403.cpp     | C++      |         13 |         30 |          7 |         50 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/runout/M412.cpp         | C++      |         45 |         30 |          7 |         82 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/trinamic/M122.cpp       | C++      |         29 |         24 |         12 |         65 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/trinamic/M569.cpp       | C++      |        158 |         28 |         23 |        209 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/trinamic/M906.cpp       | C++      |        244 |         38 |         21 |        303 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/trinamic/M911-M914.cpp  | C++      |        472 |         43 |         54 |        569 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/feature/trinamic/M919.cpp       | C++      |        208 |         35 |         24 |        267 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/gcode.cpp                       | C++      |        923 |         80 |        226 |      1,229 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/gcode.h                         | C++      |        738 |        336 |        180 |      1,254 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/gcode_d.cpp                     | C++      |        205 |         65 |         33 |        303 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/geometry/G17-G19.cpp            | C++      |         20 |         26 |          8 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/geometry/G53-G59.cpp            | C++      |         47 |         44 |          9 |        100 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/geometry/G92.cpp                | C++      |         80 |         40 |         13 |        133 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/geometry/M206_M428.cpp          | C++      |         54 |         39 |         11 |        104 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M110.cpp                   | C++      |          6 |         24 |          5 |         35 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M113.cpp                   | C++      |         12 |         26 |          8 |         46 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M114.cpp                   | C++      |        170 |         35 |         27 |        232 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M115.cpp                   | C++      |        108 |         66 |         48 |        222 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M118.cpp                   | C++      |         25 |         31 |          5 |         61 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M119.cpp                   | C++      |          5 |         24 |          5 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M154.cpp                   | C++      |          9 |         24 |          8 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M16.cpp                    | C++      |         10 |         24 |          8 |         42 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M360.cpp                   | C++      |        124 |         51 |         19 |        194 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/host/M876.cpp                   | C++      |          9 |         24 |          8 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M0_M1.cpp                   | C++      |         52 |         25 |         19 |         96 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M117.cpp                    | C++      |         11 |         24 |          8 |         43 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M145.cpp                    | C++      |         46 |         29 |          8 |         83 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M250.cpp                    | C++      |         15 |         24 |          7 |         46 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M255.cpp                    | C++      |         28 |         25 |          6 |         59 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M256.cpp                    | C++      |         15 |         24 |          6 |         45 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M300.cpp                    | C++      |         12 |         25 |          9 |         46 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M414.cpp                    | C++      |         16 |         27 |          9 |         52 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M73.cpp                     | C++      |         23 |         27 |         13 |         63 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/lcd/M995.cpp                    | C++      |         16 |         24 |          9 |         49 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/G0_G1.cpp                | C++      |         87 |         27 |         19 |        133 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/G2_G3.cpp                | C++      |        279 |        114 |         65 |        458 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/G4.cpp                   | C++      |         14 |         24 |          7 |         45 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/G5.cpp                   | C++      |         27 |         30 |         13 |         70 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/G6.cpp                   | C++      |         23 |         27 |         13 |         63 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/G80.cpp                  | C++      |          7 |         24 |          8 |         39 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/motion/M290.cpp                 | C++      |         85 |         34 |         16 |        135 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/parser.cpp                      | C++      |        287 |         77 |         69 |        433 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/parser.h                        | C++      |        294 |         66 |         83 |        443 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/G30.cpp                   | C++      |         47 |         32 |         18 |         97 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/G31_G32.cpp               | C++      |          7 |         27 |          7 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/G38.cpp                   | C++      |         68 |         40 |         26 |        134 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/M401_M402.cpp             | C++      |         31 |         31 |          8 |         70 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/M423.cpp                  | C++      |         51 |         35 |         14 |        100 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/M851.cpp                  | C++      |         62 |         28 |         13 |        103 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/probe/M951.cpp                  | C++      |         42 |         21 |          9 |         72 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/queue.cpp                       | C++      |        464 |        153 |        113 |        730 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/queue.h                         | C++      |         90 |        128 |         53 |        271 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/scara/M360-M364.cpp             | C++      |         35 |         36 |         11 |         82 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/sd/M1001.cpp                    | C++      |         61 |         34 |         24 |        119 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/sd/M20.cpp                      | C++      |         20 |         24 |          6 |         50 |
